id,title,aggregation_type,subtype,cited_by_cnt,publication_name,publisher,volume,coverDate,surname,given_name,affiliation
SCOPUS_ID:85189491726,An assessment of atmospheric concentrations and spatiotemporal variation of BTEX and associated pollutants in India,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Jayaraj,Sruthi,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85189470626,Highly enhanced removal of Cr(VI) by nZVI in presence of myo-inositol hexakisphosphate: The depassivation performance and multiple electron transfer mechanisms,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Wang,Cheng,"[{'affilname': 'Key Laboratory of Arable Land Conservation', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'affilname': 'Jiangxi Agricultural University', 'affiliation-city': 'Nanchang', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189450466,Promotion effect of Ce and Ta co-doping on the NH3-SCR performance over V2O5/TiO2 catalyst,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Liu,Long,"[{'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Xiamen University', 'affiliation-city': 'Xiamen', 'affiliation-country': 'China'}, {'affilname': 'Research Center for Eco-Environmental Sciences Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189433134,Proteomic insights from extracellular vesicles into the molecular mechanisms of health effects induced by Per- and polyfluoroalkyl substances,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Li,Yanping,"[{'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Zhejiang Shuren University', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}, {'affilname': 'Institute of Biophysics Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Research Center for Eco-Environmental Sciences Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Jianghan University', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189290658,Preferential association of PBDEs and PAHs with mineral particles vs. dissolved organic carbon: Implications for groundwater contamination at e-waste sites,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Yang,Cuiyi,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85189137381,Long-term spatiotemporal variations of ammonia in the Yangtze River Delta region of China and its driving factors,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Xue,Jingkai,"[{'affilname': 'University of Science and Technology of China', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}, {'affilname': 'Anhui Institute of Optics and Fine Mechanics', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}, {'affilname': 'Suzhou University of Science and Technology', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}, {'affilname': 'Fudan University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'affilname': 'Anhui University', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189109481,Dynamic evaluation of China's atmospheric environmental pressure from 2008 to 2017: Trends and drivers,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Huang,Aishi,"[{'affilname': 'McKelvey School of Engineering', 'affiliation-city': 'St. Louis', 'affiliation-country': 'United States'}, {'affilname': 'China University of Petroleum (East China)', 'affiliation-city': 'Qingdao', 'affiliation-country': 'China'}, {'affilname': 'Zhengzhou University of Aeronautics', 'affiliation-city': 'Zhengzhou', 'affiliation-country': 'China'}, {'affilname': 'Ocean University of China', 'affiliation-city': 'Qingdao', 'affiliation-country': 'China'}, {'affilname': 'The 714 Research Institute of CSIC', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189096910,Regulating the valence and size of the active center of Co/Al2O3 catalyst improved the performance and selectivity of NH3-SCO,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Wu,Shengyi,"[{'affilname': 'Kunming University of Science and Technology', 'affiliation-city': 'Kunming', 'affiliation-country': 'China'}, {'affilname': 'National-Regional Engineering Center for Recovery of Waste Gases from Metallurgical and Chemical Industries', 'affiliation-city': 'Kunming', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189040790,Insight into the crystal facet-dependent Cr(VI) reduction: A comparative study of pyrite {100} and {111} facets,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Tang,Binlin,"[{'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'affilname': 'Hunan Institute of Geological Disaster Investigation and Monitoring', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189036364,Characterization and function of particulate organic matter: Evidence from lakes undergoing ecological restoration,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Zhang,Letian,"[{'affilname': 'Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Lanzhou Jiaotong University', 'affiliation-city': 'Lanzhou', 'affiliation-country': 'China'}, {'affilname': 'Ministry of Ecology and Environment', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Environmental Development Center of the Ministry of Ecology and Environment', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]"
