,affiliation-city,affiliation-country
1896,Kota Samarahan,Malaysia
1897,Bushehr,Iran
1898,Heraklion,Greece
1899,Varese,Italy
1900,Skopje,
1901,,Ukraine
1902,Purmerend,Netherlands
1903,Ridderkerk,Netherlands
1904,VIC,Australia
1905,Wiesbaden,Germany
1906,Pula,Croatia
1907,Bolzano,Italy
1908,Petchburi,Thailand
1909,Bournemouth,United Kingdom
1910,Hồ Chí Minh,Viet Nam
1911,Nutley,United States
1912,Urayasu,Japan
1913,Colleferro,Italy
1914,Gaborone,Botswana
1915,Louvain,Belgium
1916,New Orleans,United States
1917,Amnat Charoen,Thailand
1918,Lower Hutt,New Zealand
1919,Mangalagiri,India
1920,Montgomery,United States
1921,Pekanbaru,Indonesia
1922,Narahenpita,Sri Lanka
1923,Kochi,Japan
1924,Trissur,India
1925,Somerset,United States
1926,Perm,Russian Federation
1927,,Mexico
1928,,Brazil
1929,Chestnut Hill,United States
1930,Salem,India
1931,Krishnagiri,India
1932,Charsadda,Pakistan
1933,Pau,France
1934,,Philippines
1935,Tangerang,Indonesia
1936,Phu Yen,Viet Nam
1937,Spokane,United States
1938,Muntinlupa,Philippines
1939,Vevey,Switzerland
1940,Damanhour,Egypt
1941,Neuchatel,Switzerland
1942,Chumporn,Thailand
1943,Maraba,Brazil
1944,Faisalabad,Pakistan
1945,Ajmer,India
1946,Lowell,United States
1947,Beauvais,France
1948,Iruma,Japan
1949,Saint Charles,United States
1950,Waterford,Ireland
1951,Colchester,United Kingdom
1952,Nesher,Israel
1953,Africa,Eritrea
1954,Quanzhou,China
1955,Rahim Yar Khan,Pakistan
1956,Due West,United States
1957,Harrisburg,United States
1958,No,Viet Nam
1959,"Muang, Nakhon Ratchasima",Thailand
1960,Pattani,Thailand
1961,,Sri Lanka
1962,Cayenne,French Guiana
1963,Dire Dawa,Ethiopia
1964,Gdynia,Poland
1965,Bamberg,Germany
1966,Commerce,United States
1967,Moscow,United States
1968,Eindhoven,Netherlands
1969,Cedar City,United States
1970,Holland,United States
1971,Hoboken,United States
1972,Abilene,United States
1973,Allendale,United States
1974,Konstanz,Germany
1975,Breukelen,Netherlands
1976,St John's,Canada
1977,Kassel,Germany
1978,Passau,Germany
1979,Dartmouth,United States
1980,Frankfurt/Oder,Germany
1981,Saint-Denis,France
1982,Friday Harbor,United States
1983,Summit,Thailand
1984,Pointe-a-Pitre,France
1985,Julich,Germany
1986,Feusiberg,Switzerland
1987,The Hague,Netherlands
1988,Chernogolovka,Russian Federation
1989,Sonderborg,Denmark
1990,Swansea,United Kingdom
1991,Kusatsu,Japan
1992,Aberystwyth,United Kingdom
1993,Vechta,Germany
1994,Otsu,Japan
1995,Aubiere,France
1996,Saint-Genis-Laval,France
1997,Tegal,Indonesia
1998,Tygerberg,South Africa
1999,Omaha,United States
2000,Oxford,Cambodia
