original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,name,street,postcode,county_code,district,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
1192,Kochi,India,9.9674277,76.2454436,"Kochi - 682001, KL, India",Kochi,,682001,,,,Kochi,Kochi,Kerala,KL,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1193,Coimbatore,India,11.0018115,76.9628425,"Coimbatore - 641001, TN, India",Coimbatore,,641001,,,,Coimbatore,Coimbatore North,Tamil Nadu,TN,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1194,Ludhiana,India,30.9090157,75.851601,"Ludhiana - 141001, PB, India",Ludhiana,,141001,,,,Ludhiana,Ludhiana (West) Tahsil,Punjab,PB,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1195,Kepong,Malaysia,3.2140294,101.634842,"52100 Kepong (Kuala Lumpur), Malaysia",Kepong,,52100,,,,Kuala Lumpur,,,,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1196,Northampton,United States,42.3178989,-72.6311006,"Northampton, MA, United States of America",,,,,,,Northampton,Hampshire County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1197,Macon,United States,32.8406946,-83.6324022,"Macon, GA, United States of America",,,,,,,Macon,Bibb County,Georgia,GA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1198,Krasnoyarsk,Russian Federation,56.0090968,92.8725147,"Krasnoyarsk, Krasnoyarsk Krai, Russia, 660000",Krasnoyarsk,,660000,,,,Krasnoyarsk,Krasnoyarsk Urban Okrug,Krasnoyarsk Krai,,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1199,Estoril,Portugal,38.7042261,-9.3983152,"2765-607 Estoril (Cascais), Portugal",Estoril,,2765-607,,,,Cascais,Lisbon,,,Portugal,pt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1200,Nairobi,Kenya,-1.2832533,36.8172449,"Nairobi, Kenya",,,,,,,Nairobi,,,,Kenya,ke,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1201,Rock Hill,United States,34.9248667,-81.0250784,"Rock Hill, SC, United States of America",,,,,,,Rock Hill,York County,South Carolina,SC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1202,Wenzhou,China,27.9963899,120.695345,"Wenzhou, Zhejiang, China",,,,,,,Wenzhou,,Zhejiang,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1203,Iksan,South Korea,35.9479291,126.9578025,"Iksan-si, South Korea",,,,,,,Iksan-si,Jeonbuk State,,,South Korea,kr,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1204,Goyang,South Korea,37.6581862,126.8319452,"Goyang-si, South Korea",,,,,,,Goyang-si,Gyeonggi,,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1205,Westerville,United States,40.126139,-82.9295287,"Westerville, OH 43081, United States of America",,,43081,,,,Westerville,Franklin County,Ohio,OH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1206,Kota Bharu,Malaysia,6.12584,102.2399785,"Kota Bharu, Kelantan, Malaysia",Kota Bharu,,,,Kota Bharu,,Kota Bharu,,Kelantan,,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1207,,Israel,30.8124247,34.8594762,Israel,,,,,,,,,,,Israel,il,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1208,Suphanburi,Thailand,14.4699051,100.1164984,"Suphan Buri, Suphan Buri Province 72000, Thailand",Suphan Buri,,72000,,,,Suphan Buri,,Suphan Buri Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1209,Anantapur,India,14.6783221,77.6065039,"Anantapur - 515001, AP, India",Anantapur,,515001,,,,Anantapur,Anantapur,Andhra Pradesh,AP,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1210,Medan,Indonesia,3.5896654,98.6738261,"City of Medan, North Sumatra, Indonesia",,,,,,,City of Medan,,North Sumatra,,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1211,Deerfield,United States,42.5442595,-72.6044771,"Deerfield, MA, United States of America",,,,,,,Deerfield,Franklin County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1212,Manhasset,United States,40.7956894,-73.6989103,"Manhasset, NY 11030, United States of America",,,11030,,,,Manhasset,Nassau County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1213,Lebanon,United States,40.3429683,-76.4233816,"Lebanon, PA, United States of America",,,,,,,Lebanon,Lebanon County,Pennsylvania,PA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1214,Linhai,China,28.8616886,121.1402223,"317000 Zhejiang, China",,,317000,,,,Linhai,,Zhejiang,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1215,Rijeka,Croatia,45.3267976,14.442208,"Grad Rijeka, Croatia",,,,,,,Grad Rijeka,Primorje-Gorski Kotar County,,,Croatia,hr,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1216,Tilburg,Netherlands,51.5562404,5.0886014,"Tilburg, NB, Netherlands",,,,,,,Tilburg,,North Brabant,NB,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1217,Halifax,Canada,44.648618,-63.5859487,"Halifax, NS, Canada",,,,,,,Halifax,Halifax County,Nova Scotia,NS,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
