original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,name,street,suburb,district,postcode,city,county_code,state,state_code,county,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
3617,Limbe,Cameroon,4.010289,9.207058,"Limbe, Southwest, Cameroon",Limbe,,,,,Limbe,,Southwest,,Fako,Cameroon,cm,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3618,Alxa League,China,32.529746,106.804852,China,China,,,,,,,,,,China,cn,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
3619,Ordos,China,39.6081457,109.7763659,"Kangbashi District, Ordos, Inner Mongolia, China",Ordos,,,Kangbashi District,017010,Ordos,,Inner Mongolia,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3620,New Minia,Egypt,28.090786,30.8126461,"New Al Minya, Al Minya, Egypt",New Al Minya,,,,,New Al Minya,,Al Minya,,,Egypt,eg,0.6480000000000001,0.6480000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3621,Tamale,Ghana,9.4051992,-0.8423986,"Tamale, Northern Region, Ghana",Tamale,,,,,Tamale,,Northern Region,,Tamale Metropolitan District,Ghana,gh,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3622,Binzhou,China,37.3821206,117.9647262,"256600 Shandong, China",,,,,256600,Binzhou,,Shandong,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3623,Haining,China,30.5142256,120.6759733,"314400 Zhejiang, China",,,,,314400,Haining,,Zhejiang,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3624,Paratico,Italy,45.6598764,9.9550703,"25030 Paratico, Italy",,,,,25030,Paratico,BS,Lombardy,,Brescia,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3625,Zibo City,China,36.500913,117.860443,"Zibo, Shandong, China",,,,,,Zibo,,Shandong,,Zibo,China,cn,0.9,0.9,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
3626,Rafsanjan,Iran,30.402184,55.9941776,"بخش مرکزی, Rafsanjan, Kerman Province, Iran",,,,بخش مرکزی,,Rafsanjan,,Kerman Province,,Rafsanjan County,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3627,Millbrook,United States,32.4798575,-86.3619163,"Millbrook, AL 36054, United States of America",,,,,36054,Millbrook,,Alabama,AL,Elmore County,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3628,Camerino,Italy,43.1357641,13.0683092,"62032 Camerino, Italy",,,,,62032,Camerino,MC,Marche,MAR,Macerata,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3629,Liyang,China,29.223631,117.0635821,"Changjiang District, Liyang, Jiangxi, China",,,,Changjiang District,,Liyang,,Jiangxi,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3630,Chofu,Japan,35.660036,139.554815,"Chofu, Japan",,,,,,Chofu,,,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3631,Hubei,China,38.998423,112.011445,"Hubei, Shanxi, China",Hubei,,,,,Hubei,,Shanxi,,Shenchi County,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3632,Williamsport,United States,41.2493292,-77.0027671,"Williamsport, PA, United States of America",,,,,,Williamsport,,Pennsylvania,PA,Lycoming County,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3633,Igdir,Turkey,39.9218784,44.0467957,"76000 Iğdır Merkez, Turkey",,,,,76000,Iğdır Merkez,,Eastern Anatolia Region,,Iğdır,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3634,LanzhouGansu,China,32.529746,106.804852,China,China,,,,,,,,,,China,cn,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
3635,"Lanzhou, Gansu",China,36.0620781,103.8318566,"Chengguan District, Lanzhou, Gansu, China",Lanzhou,,,Chengguan District,730030,Lanzhou,,Gansu,,,China,cn,0.5,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3636,Lichuan,China,30.2937431,108.9322926,"Lichuan, Hubei, China",Lichuan,,,,,Lichuan,,Hubei,,Lichuan City,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
