original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,housenumber,name,street,county_code,postcode,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
465,Bern,Switzerland,46.9484742,7.4521749,"Bern, BE, Switzerland",,,,,,,,Bern,Bern-Mittelland administrative district,Bern,BE,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
466,,Russian Federation,64.6863136,97.7453061,Russia,,,,,,,,,,,,Russia,ru,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
467,,Italy,42.6384261,12.674297,Italy,,,,,,,,,,,,Italy,it,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
468,Omuta,Japan,33.047013,130.464155,"Omuta, Japan",,,,,,,,Omuta,Fukuoka Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
469,Kure,Japan,34.2484488,132.5652498,"Kure, Japan",,,,,,,,Kure,Hiroshima Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
470,Ikeji-Arakeji,Nigeria,7.43333,4.95,"Ikeji, OS, Nigeria",,,,,,,,Ikeji,Oriade,Osun,OS,Nigeria,ng,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
471,Nis,Serbia,43.3211301,21.8959232,"City of Niš, Central Serbia, Serbia",,,,,,,,City of Niš,Nisava Administrative District,Central Serbia,,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
472,Haikou,China,30.4800765,116.9478403,"Daguan District, Haikou, Anhui, China",Daguan District,,,,,,,Haikou,,Anhui,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
473,Cooperstown,United States,42.7006303,-74.924321,"Cooperstown, NY, United States of America",,,,,,,,Cooperstown,Otsego County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
474,Evansville,United States,37.970495,-87.5715641,"Evansville, IN, United States of America",,,,,,,,Evansville,Vanderburgh County,Indiana,IN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
475,Ho Chi Minh City,Viet Nam,10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,,,,,Ho Chi Minh City,,,,Vietnam,vn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
